@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %51s "LHC 6.5 with errors and orbit correction using MADX"
@ ORIGIN           %19s "MAD-X 4.01.42 Linux"
@ DATE             %08s "07/03/11"
@ TIME             %08s "07.50.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "MCBH.27R5.B1"                       0                  0   -1.628784812e-06                  0
 "MCBV.28R5.B1"                       0                  0                  0                  0
 "MCBH.29R5.B1"                       0                  0    1.375989174e-06                  0
 "MCBV.30R5.B1"                       0                  0                  0                  0
 "MCBH.31R5.B1"                       0                  0    1.479831524e-06                  0
 "MCBV.32R5.B1"                       0                  0                  0                  0
 "MCBH.33R5.B1"                       0                  0    1.090452075e-06                  0
 "MCBV.34L6.B1"                       0                  0                  0                  0
 "MCBH.33L6.B1"                       0                  0    2.520006848e-06                  0
 "MCBV.32L6.B1"                       0                  0                  0                  0
 "MCBH.31L6.B1"                       0                  0   -2.263508213e-07                  0
 "MCBV.30L6.B1"                       0                  0                  0                  0
 "MCBH.29L6.B1"                       0                  0   -7.592749898e-07                  0
 "MCBV.28L6.B1"                       0                  0                  0                  0
 "MCBH.27L6.B1"                       0                  0    2.375331474e-06                  0
 "MCBV.26L6.B1"                       0                  0                  0                  0
 "MCBH.25L6.B1"                       0                  0    1.242065453e-06                  0
 "MCBV.24L6.B1"                       0                  0                  0                  0
 "MCBH.23L6.B1"                       0                  0    3.611273831e-06                  0
 "MCBV.22L6.B1"                       0                  0                  0                  0
 "MCBH.21L6.B1"                       0                  0    9.336460062e-08                  0
 "MCBV.20L6.B1"                       0                  0                  0                  0
 "MCBH.19L6.B1"                       0                  0    9.136212757e-07                  0
 "MCBV.18L6.B1"                       0                  0                  0                  0
 "MCBH.17L6.B1"                       0                  0     1.54114794e-07                  0
 "MCBV.16L6.B1"                       0                  0                  0                  0
 "MCBH.15L6.B1"                       0                  0    1.624587225e-06                  0
 "MCBV.14L6.B1"                       0                  0                  0                  0
 "MCBH.13L6.B1"                       0                  0    1.062822994e-06                  0
 "MCBV.12L6.B1"                       0                  0                  0                  0
 "MCBH.11L6.B1"                       0                  0   -2.982867882e-06                  0
 "MCBCV.10L6.B1"                      0                  0                  0                  0
 "MCBCH.9L6.B1"                       0                  0    9.190499259e-08                  0
 "MCBCV.8L6.B1"                       0                  0                  0                  0
 "MCBYH.5L6.B1"                       0                  0   -8.915933904e-09                  0
 "MKD.O5L6.B1"                        0                  0                  0                  0
 "MKD.N5L6.B1"                        0                  0                  0                  0
 "MKD.M5L6.B1"                        0                  0                  0                  0
 "MKD.L5L6.B1"                        0                  0                  0                  0
 "MKD.K5L6.B1"                        0                  0                  0                  0
 "MKD.J5L6.B1"                        0                  0                  0                  0
 "MKD.I5L6.B1"                        0                  0                  0                  0
 "MKD.H5L6.B1"                        0                  0                  0                  0
 "MKD.G5L6.B1"                        0                  0                  0                  0
 "MKD.F5L6.B1"                        0                  0                  0                  0
 "MKD.E5L6.B1"                        0                  0                  0                  0
 "MKD.D5L6.B1"                        0                  0                  0                  0
 "MKD.C5L6.B1"                        0                  0                  0                  0
 "MKD.B5L6.B1"                        0                  0                  0                  0
 "MKD.A5L6.B1"                        0                  0                  0                  0
 "MCBYV.4L6.B1"                       0                  0                  0                  0
 "MSDA.E4L6.B1"                       0                  0                  0                  0
 "MSDA.D4L6.B1"                       0                  0                  0                  0
 "MSDA.C4L6.B1"                       0                  0                  0                  0
 "MSDA.B4L6.B1"                       0                  0                  0                  0
 "MSDA.A4L6.B1"                       0                  0                  0                  0
 "MSDB.C4L6.B1"                       0                  0                  0                  0
 "MSDB.B4L6.B1"                       0                  0                  0                  0
 "MSDB2.4L6.B1"                       0                  0                  0                  0
 "MSDB2.4R6.B1"                       0                  0                  0                  0
 "MSDB.A4R6.B1"                       0                  0                  0                  0
 "MSDB.B4R6.B1"                       0                  0                  0                  0
 "MSDC.A4R6.B1"                       0                  0                  0                  0
 "MSDC.B4R6.B1"                       0                  0                  0                  0
 "MSDC.C4R6.B1"                       0                  0                  0                  0
 "MSDC.D4R6.B1"                       0                  0                  0                  0
 "MSDC.E4R6.B1"                       0                  0                  0                  0
 "MCBYH.4R6.B1"                       0                  0    1.152635718e-09                  0
 "MCBYV.5R6.B1"                       0                  0                  0                  0
 "MCBCH.8R6.B1"                       0                  0   -1.217270619e-08                  0
 "MCBCV.9R6.B1"                       0                  0                  0                  0
 "MCBCH.10R6.B1"                      0                  0    8.730501577e-08                  0
 "MCBV.11R6.B1"                       0                  0                  0                  0
 "MCBH.12R6.B1"                       0                  0    2.649172166e-08                  0
 "MCBV.13R6.B1"                       0                  0                  0                  0
 "MCBH.14R6.B1"                       0                  0   -8.636368439e-07                  0
 "MCBV.15R6.B1"                       0                  0                  0                  0
 "MCBH.16R6.B1"                       0                  0   -2.606878756e-06                  0
 "MCBV.17R6.B1"                       0                  0                  0                  0
 "MCBH.18R6.B1"                       0                  0    2.196164802e-06                  0
 "MCBV.19R6.B1"                       0                  0                  0                  0
 "MCBH.20R6.B1"                       0                  0    3.192364937e-06                  0
 "MCBV.21R6.B1"                       0                  0                  0                  0
 "MCBH.22R6.B1"                       0                  0     9.88752814e-07                  0
 "MCBV.23R6.B1"                       0                  0                  0                  0
 "MCBH.24R6.B1"                       0                  0   -3.220452345e-07                  0
 "MCBV.25R6.B1"                       0                  0                  0                  0
 "MCBH.26R6.B1"                       0                  0    1.689243509e-07                  0
 "MCBV.27R6.B1"                       0                  0                  0                  0
 "MCBH.28R6.B1"                       0                  0     1.23507448e-06                  0
 "MCBV.29R6.B1"                       0                  0                  0                  0
 "MCBH.30R6.B1"                       0                  0   -6.067658542e-07                  0
 "MCBV.31R6.B1"                       0                  0                  0                  0
 "MCBH.32R6.B1"                       0                  0    7.919106283e-07                  0
 "MCBV.33R6.B1"                       0                  0                  0                  0
 "MCBH.34L7.B1"                       0                  0   -2.117117634e-06                  0
 "MCBV.33L7.B1"                       0                  0                  0                  0
 "MCBH.32L7.B1"                       0                  0    1.354195178e-06                  0
 "MCBV.31L7.B1"                       0                  0                  0                  0
 "MCBH.30L7.B1"                       0                  0   -1.534851734e-06                  0
 "MCBV.29L7.B1"                       0                  0                  0                  0
 "MCBH.28L7.B1"                       0                  0    4.049799754e-07                  0
 "MCBV.27L7.B1"                       0                  0                  0                  0
 "MCBH.26L7.B1"                       0                  0    1.137340092e-06                  0
 "MCBV.25L7.B1"                       0                  0                  0                  0
 "MCBH.24L7.B1"                       0                  0    -7.10714492e-07                  0
 "MCBV.23L7.B1"                       0                  0                  0                  0
