@ NAME             %07s "ROTATIONS"
@ TYPE             %07s "ROTATIONS"
@ TITLE            %11s "magnet rotations"
@ ORIGIN           %16s "MAD-X 2.12 Linux"
@ DATE             %08s "24/05/07"
@ TIME             %08s "15.00.00"
* NAME          YROTA      SROTA      INOUT
$ %s            %le        %le        %le
not found       -1         -1         -1
MQT.17R7        0          0          1
MS.17R7         0          0          1
MQT.18R7        0          0          1
MS.18R7         0          0          1
MQT.19R7        0          0          1
MS.19R7         0          0          1
MQT.20R7        0          0          1
MS.20R7         0          0          1
MQT.21R7        0          0          1
MS.21R7         0          0          1
MO.22R7         0          0          1
MS.22R7         0          0          1
MQS.23R7        0          0          1
MS.23R7         0          0          1
MO.24R7         0          0          1
MS.24R7         0          0          1
MO.25R7         0          0          1
MS.25R7         0          0          1
MO.26R7         0          0          1
MS.26R7         0          0          1
MQS.27R7        0          0          1
MS.27R7         0          0          1
MO.28R7         0          0          1
MS.28R7         0          0          1
MO.29R7         0          0          1
MSS.29R7        0          0          1
MO.30R7         0          0          1
MS.30R7         0          0          1
MO.31R7         0          0          1
MS.31R7         0          0          1
MO.32R7         0          0          1
MS.32R7         0          0          1
MO.33R7         0          0          1
MSS.33R7        0          0          1
MO.34R7         0          0          1
MS.34L8         0          0          1
MO.33L8         0          0          1
MSS.33L8        0          0          1
MO.32L8         0          0          1
MS.32L8         0          0          1
MO.31L8         0          0          1
MS.31L8         0          0          1
MO.30L8         0          0          1
MS.30L8         0          0          1
MO.29L8         0          0          1
MSS.29L8        0          0          1
MO.28L8         0          0          1
MS.28L8         0          0          1
MQS.27L8        0          0          1
MS.27L8         0          0          1
MO.26L8         0          0          1
MS.26L8         0          0          1
MO.25L8         0          0          1
MS.25L8         0          0          1
MO.24L8         0          0          1
MS.24L8         0          0          1
MQS.23L8        0          0          1
MS.23L8         0          0          1
MO.22L8         0          0          1
MS.22L8         0          0          1
MQT.21L8        0          0          1
MS.21L8         0          0          1
MQT.20L8        0          0          1
MS.20L8         0          0          1
MQT.19L8        0          0          1
MS.19L8         0          0          1
MQT.18L8        0          0          1
MS.18L8         0          0          1
MQT.17L8        0          0          1
MS.17L8         0          0          1
MQT.16L8        0          0          1
MS.16L8         0          0          1
MQT.15L8        0          0          1
MS.15L8         0          0          1
MQT.14L8        0          0          1
MS.14L8         0          0          1
MQT.13L8        0          0          1
MS.13L8         0          0          1
MQT.12L8        0          0          1
MS.12L8         0          0          1
MQTLI.11L8      180        0          1
MCBH.11L8       180        0          1
MCBV.11L8       180        0          1
MS.11L8         0          0          1
MQML.10L8       0          0          1
MQMC.9L8        0          0          1
MQM.9L8         0          0          1
MQML.8L8        0          0          1
MQM.B7L8        0          0          1
MQM.A7L8        0          0          1
MQML.6L8        180        0          1
MQM.6L8         180        0          1
MQM.B5L8        180        0          1
MQM.A5L8        180        0          1
MQY.B4L8        0          0          1
